reason_code,compiled_codes
13995008,"['400136002', '48972008', '15440009', '13995008']"
252160004,"['67900009', '74036000', '252160004']"
274474001,"['128927009', '129233004', '274474001']"
703423002,"['367336001', '416608005', '108290001', '703423002']"
305428000,"['305408004', '305428000']"
312681000,"['363679005', '312681000']"
429609002,"['119746007', '410771003', '429609002']"
15081005,"['118669005', '52052004', '15081005']"
74857009,"['50699000', '74857009']"
180030006,"['397117006', '119686008', '180030006']"
52734007,"['398010007', '52734007']"
173160006,"['173160006']"
31208007,"['236958009', '31208007']"
399208008,"['303927002', '415232002', '399208008']"
91602002,"['86088003', '118795000', '118796004', '91602002']"
80146002,"['8613002', '27010001', '80146002']"
313191000,"['427015007', '313191000']"
127783003,"['23426006', '122869004', '127783003']"
90407005,"['108311000', '90407005']"
432231006,"['48635004', '274319000', '287464002', '287460006', '432231006']"
88039007,"['363186003', '387714009', '313039003', '120158008', '88039007']"
384700001,"['384707003', '281706009', '384700001']"
305340004,"['32485007', '305340004']"
755621000000101,"['755621000000101']"
1015401000000102,"['1015401000000102']"
714812005,"['386639001', '714812005']"
169553002,"['278854009', '782901001', '363691001', '118726005', '169553002']"
305425002,"['305408004', '305425002']"
22523008,"['399141000', '120013000', '22523008']"
167995008,"['117259009', '269911007', '430509005', '167995008']"
88848003,"['108311000', '88848003']"
387685009,"['387686005', '179419004', '387687001', '387685009']"
76601001,"['24456005', '119571007', '699998000', '76601001']"
265764009,"['108241001', '265764009']"
29240004,"['108259003', '386053000', '29240004']"
428191000124101,"['23745001', '428191000124101']"
228557008,"['166001', '228557008']"
232717009,"['116360008', '713689002', '232717009']"
46028000,"['400136002', '119647009', '46028000']"
73761001,"['6019008', '118839001', '73761001']"
418891003,"['169070004', '169069000', '418891003']"
180256009,"['416608005', '76334006', '309510008', '180256009']"
79733001,"['397117006', '79733001']"
699253003,"['179342005', '449652005', '387687001', '699253003']"
11466000,"['66201006', '42253005', '236991000', '11466000']"
65546002,"['55162003', '65546002']"
171231001,"['171228002', '171231001']"
609588000,"['19063003', '392238003', '609588000']"
65588006,"['65588006']"
237001001,"['31208007', '236958009', '237000000', '118864003', '363312001', '237001001']"
68254000,"['176837007', '118864003', '68526006', '4411002', '68254000']"
415070008,"['118806004', '415070008']"
698354004,"['816077007', '698354004']"
46706006,"['68254000', '176837007', '118864003', '68526006', '4411002', '384728007', '46706006']"
395142003,"['386053000', '408767007', '395142003']"
65200003,"['782901001', '176837007', '118864003', '65200003']"
287664005,"['1010295006', '1010296007', '76486003', '287664005']"
447365002,"['395218007', '447365002']"
177157003,"['237311001', '177157003']"
183450002,"['305431004', '183450002']"
311791003,"['14734007', '311791003']"
301807007,"['118726005', '128538000', '301807007']"
274031008,"['79764004', '235340004', '274031008']"
76164006,"['119287009', '118839001', '76164006']"
305433001,"['305408004', '305433001']"
236974004,"['386811000', '363691001', '700000006', '236974004']"
18286008,"['276272002', '27711007', '18286008']"
43075005,"['23968004', '43075005']"
445912000,"['120053002', '82688001', '445912000']"
433112001,"['419798006', '432947000', '439489001', '22276002', '433112001']"
18946005,"['745638006', '51898002', '18946005']"
23426006,"['122869004', '23426006']"
387607004,"['398740003', '387607004']"
269911007,"['430509005', '269911007']"
117015009,"['104190003', '117015009']"
66348005,"['66348005']"
85548006,"['302370000', '108101003', '236991000', '85548006']"
112790001,"['113028003', '423827005', '268925001', '373657001', '386043001', '112790001']"
288086009,"['18557009', '442460002', '288086009']"
